id,prefixo,kx_n_urns,grupo_id,escopo
295,br;parana;cambe:municipal:lei.organica,1,,leg
311,br:procuradoria.geral.republica:parecer;adc,13,,leg
312,br:procuradoria.geral.republica:parecer;adi,3631,,leg
313,br:procuradoria.geral.republica:parecer;adpf,89,,leg
319,br;rio.grande.sul;acegua:municipal:lei,863,,leg
320,br;rio.grande.sul;acegua:municipal:lei.complementar,6,,leg
321,br;rio.grande.sul;acegua:municipal:lei.organica,1,,leg
322,br;rio.grande.sul;agua.santa:municipal:decreto,7,,leg
323,br;rio.grande.sul;agua.santa:municipal:decreto.legislativo,4,,leg
324,br;rio.grande.sul;agua.santa:municipal:lei,233,,leg
325,br;rio.grande.sul;agua.santa:municipal:lei.organica,1,,leg
326,br;rio.grande.sul;agudo:camara.municipal:resolucao,73,,leg
327,br;rio.grande.sul;agudo:municipal:decreto,45,,leg
328,br;rio.grande.sul;agudo:municipal:decreto.legislativo,12,,leg
329,br;rio.grande.sul;agudo:municipal:emenda.lei.organica,10,,leg
330,br;rio.grande.sul;agudo:municipal:lei,367,,leg
331,br;rio.grande.sul;agudo:municipal:lei.complementar,16,,leg
332,br;rio.grande.sul;agudo:municipal:lei.organica,1,,leg
333,br;rio.grande.sul;ajuricaba:municipal:decreto,6,,leg
334,br;rio.grande.sul;ajuricaba:municipal:decreto.legislativo,9,,leg
335,br;rio.grande.sul;ajuricaba:municipal:lei,460,,leg
336,br;rio.grande.sul;ajuricaba:municipal:lei.organica,1,,leg
337,br;rio.grande.sul;alecrim:municipal:decreto,8,,leg
338,br;rio.grande.sul;alecrim:municipal:decreto.legislativo,9,,leg
339,br;rio.grande.sul;alecrim:municipal:emenda.lei.organica,1,,leg
340,br;rio.grande.sul;alecrim:municipal:lei,445,,leg
341,br;rio.grande.sul;alegrete:municipal:decreto,14,,leg
342,br;rio.grande.sul;alegrete:municipal:decreto.legislativo,8,,leg
343,br;rio.grande.sul;alegrete:municipal:emenda.lei.organica,2,,leg
344,br;rio.grande.sul;alegrete:municipal:lei,238,,leg
345,br;rio.grande.sul;alegrete:municipal:lei.complementar,20,,leg
346,br;rio.grande.sul;alegrete:municipal:lei.organica,1,,leg
347,br;rio.grande.sul;alegria:municipal:decreto,2,,leg
348,br;rio.grande.sul;alegria:municipal:decreto.legislativo,13,,leg
349,br;rio.grande.sul;alegria:municipal:emenda.lei.organica,1,,leg
350,br;rio.grande.sul;alegria:municipal:lei,253,,leg
351,br;rio.grande.sul;alegria:municipal:lei.complementar,3,,leg
352,br;rio.grande.sul;alegria:municipal:lei.organica,1,,leg
353,br;rio.grande.sul;almirante.tamandare.sul:municipal:decreto,1,,leg
354,br;rio.grande.sul;almirante.tamandare.sul:municipal:lei,42,,leg
355,br;rio.grande.sul;alpestre:municipal:decreto,42,,leg
356,br;rio.grande.sul;alpestre:municipal:decreto.legislativo,4,,leg
357,br;rio.grande.sul;alpestre:municipal:lei,376,,leg
358,br;rio.grande.sul;alpestre:municipal:lei.complementar,1,,leg
359,br;rio.grande.sul;alpestre:municipal:lei.organica,1,,leg
360,br;rio.grande.sul;alto.alegre:municipal:decreto,41,,leg
361,br;rio.grande.sul;alto.alegre:municipal:decreto.legislativo,4,,leg
362,br;rio.grande.sul;alto.alegre:municipal:emenda.lei.organica,2,,leg
363,br;rio.grande.sul;alto.alegre:municipal:lei,149,,leg
364,br;rio.grande.sul;alto.alegre:municipal:lei.organica,1,,leg
365,br;rio.grande.sul;alto.feliz:municipal:decreto,26,,leg
366,br;rio.grande.sul;alto.feliz:municipal:decreto.legislativo,15,,leg
367,br;rio.grande.sul;alto.feliz:municipal:emenda.lei.organica,1,,leg
368,br;rio.grande.sul;alto.feliz:municipal:lei,125,,leg
369,br;rio.grande.sul;alto.feliz:municipal:lei.organica,1,,leg
370,br;rio.grande.sul;alvorada:municipal:decreto,736,,leg
371,br;rio.grande.sul;alvorada:municipal:lei,830,,leg
372,br;rio.grande.sul;alvorada:municipal:lei.organica,2,,leg
373,br;rio.grande.sul;amaral.ferrador:municipal:decreto,1,,leg
374,br;rio.grande.sul;amaral.ferrador:municipal:decreto.legislativo,7,,leg
375,br;rio.grande.sul;amaral.ferrador:municipal:lei,1035,,leg
376,br;rio.grande.sul;amaral.ferrador:municipal:lei.complementar,2,,leg
377,br;rio.grande.sul;amaral.ferrador:municipal:lei.organica,1,,leg
378,br;rio.grande.sul;ametista.sul:municipal:decreto,128,,leg
379,br;rio.grande.sul;ametista.sul:municipal:decreto.legislativo,4,,leg
380,br;rio.grande.sul;ametista.sul:municipal:lei,506,,leg
381,br;rio.grande.sul;ametista.sul:municipal:lei.complementar,1,,leg
382,br;rio.grande.sul;andre.rocha:municipal:decreto,116,,leg
383,br;rio.grande.sul;andre.rocha:municipal:decreto.legislativo,6,,leg
384,br;rio.grande.sul;andre.rocha:municipal:lei,175,,leg
385,br;rio.grande.sul;anta.gorda:municipal:decreto,6,,leg
386,br;rio.grande.sul;anta.gorda:municipal:decreto.legislativo,13,,leg
387,br;rio.grande.sul;anta.gorda:municipal:emenda.lei.organica,1,,leg
388,br;rio.grande.sul;anta.gorda:municipal:lei,395,,leg
389,br;rio.grande.sul;anta.gorda:municipal:lei.complementar,1,,leg
390,br;rio.grande.sul;anta.gorda:municipal:lei.organica,1,,leg
391,br;rio.grande.sul;antonio.prado:municipal:decreto,49,,leg
392,br;rio.grande.sul;antonio.prado:municipal:decreto.legislativo,15,,leg
393,br;rio.grande.sul;antonio.prado:municipal:emenda.lei.organica,2,,leg
394,br;rio.grande.sul;antonio.prado:municipal:lei,322,,leg
395,br;rio.grande.sul;antonio.prado:municipal:lei.complementar,23,,leg
396,br;rio.grande.sul;antonio.prado:municipal:lei.organica,1,,leg
397,br;rio.grande.sul;arambare:municipal:decreto,1,,leg
398,br;rio.grande.sul;arambare:municipal:decreto.legislativo,1,,leg
399,br;rio.grande.sul;arambare:municipal:emenda.lei.organica,3,,leg
400,br;rio.grande.sul;arambare:municipal:lei,637,,leg
401,br;rio.grande.sul;arambare:municipal:lei.complementar,1,,leg
402,br;rio.grande.sul;ararica:municipal:decreto,4,,leg
403,br;rio.grande.sul;ararica:municipal:decreto.legislativo,2,,leg
404,br;rio.grande.sul;ararica:municipal:lei,95,,leg
405,br;rio.grande.sul;ararica:municipal:lei.complementar,1,,leg
406,br;rio.grande.sul;aratiba:municipal:decreto,15,,leg
407,br;rio.grande.sul;aratiba:municipal:decreto.legislativo,6,,leg
408,br;rio.grande.sul;aratiba:municipal:emenda.lei.organica,3,,leg
409,br;rio.grande.sul;aratiba:municipal:lei,363,,leg
410,br;rio.grande.sul;aratiba:municipal:lei.organica,1,,leg
411,br;rio.grande.sul;arroio.grande:municipal:decreto,16,,leg
412,br;rio.grande.sul;arroio.grande:municipal:decreto.legislativo,5,,leg
413,br;rio.grande.sul;arroio.grande:municipal:lei,135,,leg
414,br;rio.grande.sul;arroio.grande:municipal:lei.organica,1,,leg
415,br;rio.grande.sul;arroio.meio:municipal:decreto,11,,leg
416,br;rio.grande.sul;arroio.meio:municipal:decreto.legislativo,2,,leg
417,br;rio.grande.sul;arroio.meio:municipal:lei,530,,leg
418,br;rio.grande.sul;arroio.meio:municipal:lei.organica,1,,leg
419,br;rio.grande.sul;arroio.padre:municipal:decreto,142,,leg
420,br;rio.grande.sul;arroio.padre:municipal:emenda.lei.organica,1,,leg
421,br;rio.grande.sul;arroio.padre:municipal:lei,1126,,leg
422,br;rio.grande.sul;arroio.padre:municipal:lei.complementar,11,,leg
423,br;rio.grande.sul;arroio.ratos:municipal:decreto,6,,leg
424,br;rio.grande.sul;arroio.ratos:municipal:decreto.legislativo,21,,leg
425,br;rio.grande.sul;arroio.ratos:municipal:emenda.lei.organica,7,,leg
426,br;rio.grande.sul;arroio.ratos:municipal:lei,235,,leg
427,br;rio.grande.sul;arroio.sal:municipal:decreto,72,,leg
428,br;rio.grande.sul;arroio.sal:municipal:decreto.legislativo,7,,leg
429,br;rio.grande.sul;arroio.sal:municipal:emenda.lei.organica,1,,leg
430,br;rio.grande.sul;arroio.sal:municipal:lei,233,,leg
431,br;rio.grande.sul;arroio.tigre:municipal:decreto,393,,leg
432,br;rio.grande.sul;arroio.tigre:municipal:decreto.legislativo,20,,leg
433,br;rio.grande.sul;arroio.tigre:municipal:emenda.lei.organica,1,,leg
434,br;rio.grande.sul;arroio.tigre:municipal:lei,522,,leg
435,br;rio.grande.sul;arvorezinha:municipal:decreto,1,,leg
436,br;rio.grande.sul;arvorezinha:municipal:decreto.legislativo,6,,leg
437,br;rio.grande.sul;arvorezinha:municipal:lei,134,,leg
438,br;rio.grande.sul;arvorezinha:municipal:lei.complementar,4,,leg
439,br;rio.grande.sul;arvorezinha:municipal:lei.organica,1,,leg
440,br;rio.grande.sul;augusto.pestana:municipal:decreto,365,,leg
441,br;rio.grande.sul;augusto.pestana:municipal:decreto.legislativo,5,,leg
442,br;rio.grande.sul;augusto.pestana:municipal:emenda.lei.organica,3,,leg
443,br;rio.grande.sul;augusto.pestana:municipal:lei,740,,leg
444,br;rio.grande.sul;augusto.pestana:municipal:lei.complementar,1,,leg
445,br;rio.grande.sul;augusto.pestana:municipal:lei.organica,1,,leg
446,br;rio.grande.sul;aurea:municipal:decreto,4,,leg
447,br;rio.grande.sul;aurea:municipal:decreto.legislativo,7,,leg
448,br;rio.grande.sul;aurea:municipal:lei,98,,leg
449,br;rio.grande.sul;aurea:municipal:lei.organica,1,,leg
